,Nuclei,Nuclei,Nuclei,Mitochondria,Mitochondria,Mitochondria,ER,ER,ER,Plasmalemma,Plasmalemma,Plasmalemma,Dense Microsomes,Dense Microsomes,Dense Microsomes,Cytosol,Cytosol,Cytosol,Whole cell homogenate,Whole cell homogenate,Whole cell homogenate
CL(68:5),0.171352394,0.181428383,0.047750785,1.814424287,0.376412554,0.465896212,0.046916278,0.124457047,0.047101111,0.103429493,0.033365257,0.010677094,0.051688127,0.073105606,0.033367184,0.000377657,0.000250251,0.000299581,0.305325838,0.215430176,0.254604037
CL(68:4),0.825606989,0.861784819,0.154487835,6.134482113,0.915598104,0.88461306,0.215262921,0.525485307,0.155433668,0.152989459,0.040389521,0.025421653,0.043989895,0.099279218,0.0613025,0.000377657,0.000250251,0.000299581,1.473986805,0.861720702,1.222099376
CL(68:3),6.39E-03,8.32E-05,7.72E-05,7.17E-02,5.09E-02,2.12E-03,1.52E-05,1.52E-05,1.30E-05,4.09E-02,8.25E-03,2.03E-03,5.61E-02,6.41E-02,2.25E-02,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
CL(68:2),8.57E-05,8.32E-05,7.72E-05,4.75E-01,4.83E-02,4.25E-02,1.52E-05,1.52E-05,1.30E-05,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
CL(70:6),1.40E-01,1.48E-01,3.37E-02,1.38E+00,2.95E-01,3.60E-01,4.42E-02,1.27E-01,3.30E-02,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.74E-01,1.44E-01,2.44E-01
CL(70:5),0.669832085,0.695475468,0.112354789,6.220883269,0.966464666,1.002561468,0.187665111,0.442513943,0.14365839,0.127132085,0.036877389,0.025421653,0.06708459,0.144406136,0.059750538,0.000377657,0.000250251,0.000299581,1.263417261,0.765973958,0.967495339
CL(70:4),1.074846835,1.058332234,0.168532183,7.257697148,0.915598104,0.88461306,0.303575915,0.691428036,0.176629168,0.157299021,0.047413786,0.025421653,0.040690653,0.126355369,0.065958386,0.000377657,0.000250251,0.000299581,2.210980207,1.184865966,1.32394099
CL(70:3),8.57E-05,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.52E-05,1.30E-05,7.11E-03,3.16E-03,9.32E-06,4.62E-02,4.87E-02,6.98E-03,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
CL(72:7),1.26E-01,1.35E-01,2.53E-02,9.50E-01,2.03E-01,2.24E-01,3.86E-02,9.13E-02,1.98E-02,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.11E-01,1.32E-01,1.73E-01
CL(72:6),2.49E-01,2.72E-01,4.07E-02,2.42E+00,4.83E-01,5.01E-01,6.07E-02,1.83E-01,4.71E-02,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,4.74E-01,2.87E-01,3.46E-01
CL(72:5),4.52E-01,4.38E-01,6.74E-02,4.49E+00,6.61E-01,6.49E-01,1.49E-01,3.32E-01,8.71E-02,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,9.37E-01,5.15E-01,6.11E-01
CL(72:4),3.58E-01,4.08E-01,7.72E-05,3.46E+00,4.37E-01,3.95E-01,1.05E-01,2.52E-01,4.47E-02,1.19E-05,9.66E-06,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,7.48E-01,3.83E-01,4.07E-01
PC(P16:0/20:4),7.165646,10.432132,8.426609,8.640116,10.173312,10.025615,5.79554,5.254853,4.710111,5.171475,7.199871,4.914853,6.26856,7.491068,5.431867,8.926432,8.645026,6.536306,3.895537,5.026704,4.175506
PC(O36:4),5.45E-02,8.32E-05,1.07E+00,4.75E-05,2.80E-05,3.24E-05,4.14E+00,4.70E-01,3.53E-01,1.19E-05,2.81E-01,4.75E-01,5.72E-01,5.69E-01,1.01E+00,3.78E-04,2.50E-04,2.12E+00,5.79E-05,6.58E-05,7.74E-02
PC(O36:3),1.713523939,1.814283829,2.808869722,1.9872266,1.678596524,2.299993956,3.863693459,1.521141679,1.766291678,0.81881682,1.931672757,1.677829114,2.199494757,2.617361213,2.095148736,0.000377657,0.000250251,2.777930216,1.263417261,0.909594075,1.018416147
PC(O36:2),4.829022,0.7408326,7.7243917,6.048081,6.612653,7.0769045,4.6916278,5.5314243,6.35865,0.3878606,4.2145587,3.3895538,7.2583327,9.9279218,8.5357911,10.986378,10.9200325,8.7150752,3.7902518,3.8298698,3.7681397
PC(O38:5),2.80E+00,3.63E+00,4.49E+00,3.28E+00,3.46E+00,3.83E+00,6.90E+00,2.71E+00,2.31E+00,1.19E-05,3.51E+00,2.20E+00,2.75E+00,4.33E+00,3.88E+00,3.78E-04,2.50E-04,3.00E-04,5.79E-05,1.80E+00,2.14E+00
PE(O32:0),11.215793,13.455938,18.257653,7.344098,9.155981,8.256389,3.311737,6.361138,4.2391,5.386953,7.199871,6.270674,12.097221,11.732999,10.087753,25.405999,24.570073,32.13684,2.947974,6.343222,6.212338
PE(O36:5),7.94452,8.769039,8.286166,6.307284,7.121319,6.487162,13.522927,16.870844,14.83685,7.757212,10.009577,10.338139,14.296716,13.538075,20.175506,17.852864,22.295066,15.796074,8.738636,6.702272,7.128913
PE(O36:4),7.165646,8.920229,9.550157,5.529674,6.612653,5.602549,12.970971,13.828561,12.952806,7.757212,8.604724,9.151795,13.196969,11.732999,16.295601,13.046324,14.560043,13.617305,8.633351,6.103855,6.823388
PE(O36:3),7.009871,8.164277,8.707496,4.665662,5.086656,4.894859,11.867058,14.381703,14.130333,7.110778,7.902298,8.982317,12.097221,12.635537,16.295601,10.986378,16.380049,14.161997,7.580504,5.625121,7.027071
PE(O36:2),9.658044,10.734513,10.111931,4.406459,5.595322,5.425627,19.042489,20.189699,16.720895,9.911993,11.590037,12.202394,15.396463,16.24569,20.175506,15.10627,21.385064,15.796074,9.896769,6.343222,9.267587
PE(O36:1),3.582823,3.174997,3.791974,1.555221,1.983796,1.533329,3.863693,4.148568,4.474606,2.370259,3.863346,3.389554,4.508964,3.5199,3.103924,1.853951,1.365004,3.104746,3.158543,2.513352,3.564457
PE(O38:5),14.48707,18.14284,18.25765,17.28023,19.32929,15.92304,22.07825,30.42283,25.90561,14.43703,19.31673,18.64255,24.19444,24.36854,25.60737,17.16622,24.57007,20.6983,17.89841,14.36201,15.27624
PE(O38:3),8.25607,9.978561,16.853218,9.504127,12.207975,10.025615,11.867058,13.275418,13.188311,10.558427,11.41443,11.524483,16.496211,15.343152,13.967658,26.092648,26.390079,28.323994,9.475629,7.181006,10.184161
PE(O38:2),6.386771,7.257135,5.477296,3.888052,4.527124,4.717936,10.763146,9.956564,8.4782,6.464343,6.848658,7.118063,7.698232,6.498276,6.207848,3.158584,4.550014,3.159215,6.106517,5.385754,5.804972
PE(O38:1),2.18084865,2.570235425,1.685321833,1.72802313,2.187262138,1.533329304,1.462683953,1.410513193,1.460134454,1.810016128,2.107279371,1.677829114,1.759595806,1.173299854,1.16397152,0.473787549,0.000250251,0.817038299,1.052847718,1.43620117,2.036832293
HexCer(d18:1/16:0),6.85E-01,2.72E-01,1.54E-01,5.36E-01,2.70E-01,1.30E-01,9.38E-01,3.87E-01,2.36E-01,6.90E-01,5.97E-01,2.71E-01,3.63E-01,2.89E-01,1.16E-01,6.18E-01,2.46E-01,2.83E-01,7.79E-01,6.10E-01,2.85E-01
HexCer(d18:1/18:0),3.89E-02,2.57E-02,3.37E-03,3.02E-02,2.59E-02,3.30E-03,4.14E-02,2.05E-02,9.66E-03,3.66E-02,2.46E-02,1.24E-02,1.76E-02,1.53E-02,3.49E-03,6.25E-02,9.56E-03,4.09E-03,4.53E-02,3.95E-02,1.63E-02
HexCer(d18:1/20:0),3.12E-02,1.47E-02,7.02E-03,2.59E-02,1.53E-02,2.12E-03,4.14E-02,2.07E-02,8.24E-03,3.02E-02,2.63E-02,9.15E-03,2.75E-02,1.62E-02,3.18E-03,3.85E-02,2.87E-02,1.31E-02,3.58E-02,2.27E-02,7.64E-03
HexCer(d18:1/22:0),4.98E-01,9.52E-02,1.97E-02,3.97E-01,8.65E-02,2.01E-02,7.18E-01,1.19E-01,6.36E-02,4.53E-01,2.11E-01,7.12E-02,2.42E-01,6.77E-02,1.40E-02,3.30E-01,5.92E-02,2.18E-02,6.21E-01,2.27E-01,4.18E-02
HexCer(d18:1/24:1),5.30E-01,7.26E-02,1.07E-02,4.15E-01,9.66E-02,1.06E-02,6.35E-01,9.68E-02,4.47E-02,3.88E-01,1.42E-01,4.58E-02,2.42E-01,3.79E-02,1.47E-02,2.75E-01,2.00E-02,2.18E-02,5.37E-01,1.44E-01,2.24E-02
HexCer(d18:1/24:0),1.11E+00,1.04E-01,7.30E-03,8.64E-01,1.17E-01,2.30E-02,1.44E+00,1.66E-01,6.83E-02,8.83E-01,2.11E-01,7.80E-02,5.28E-01,7.94E-02,2.02E-02,5.63E-01,4.37E-02,2.18E-02,1.26E+00,2.51E-01,3.56E-02
HexCer(d18:1/26:1),1.07E-02,3.48E-03,9.83E-04,9.50E-03,1.37E-03,3.72E-04,1.13E-02,4.98E-03,2.31E-04,5.17E-03,1.04E-03,9.49E-04,3.52E-03,1.53E-03,4.27E-05,1.99E-03,2.50E-04,3.00E-04,1.03E-02,3.35E-03,4.58E-04
HexCer(d18:1/26:0),9.19E-03,3.33E-03,4.63E-04,6.65E-03,6.61E-04,3.24E-05,9.94E-03,2.05E-03,7.07E-04,7.76E-03,9.66E-06,1.53E-04,6.27E-03,1.44E-03,3.49E-04,4.26E-03,3.91E-03,9.26E-04,1.00E-02,3.11E-03,3.16E-04
HexCer(d18:0/16:0),1.18E-02,5.75E-03,2.53E-03,8.64E-03,5.60E-03,5.54E-03,1.19E-02,6.64E-03,5.89E-03,9.70E-03,1.05E-02,5.42E-03,5.28E-03,3.61E-03,2.33E-03,1.44E-02,5.46E-03,5.39E-03,1.26E-02,1.05E-02,1.12E-02
HexCer(d18:0/18:0),8.72E-04,6.65E-04,1.10E-03,4.58E-04,7.12E-04,4.66E-04,1.19E-03,3.87E-04,7.77E-04,6.46E-04,4.04E-04,4.24E-04,6.05E-05,5.78E-04,1.55E-03,4.39E-03,2.50E-04,3.00E-04,8.11E-04,6.58E-05,2.04E-03
HexCer(d18:0/20:0),1.28E-03,3.48E-04,1.10E-03,3.97E-04,1.88E-04,3.24E-05,6.62E-04,1.52E-05,1.27E-04,3.23E-04,3.16E-04,4.24E-04,8.14E-04,4.96E-05,4.27E-05,4.19E-03,4.14E-03,1.09E-03,3.90E-04,4.43E-04,1.83E-04
HexCer(d18:0/22:0),1.54E-03,8.32E-05,4.78E-04,8.55E-04,1.07E-03,3.24E-05,2.04E-03,3.87E-04,1.44E-03,2.15E-03,1.40E-03,2.37E-03,8.47E-04,5.14E-04,4.27E-05,3.78E-04,3.59E-03,3.00E-04,2.84E-03,1.17E-03,9.17E-04
HexCer(d18:0/24:1),2.34E-03,8.92E-04,7.72E-05,3.28E-03,3.36E-04,8.85E-04,3.86E-03,1.11E-03,2.26E-03,2.37E-03,1.02E-03,1.69E-03,1.76E-03,4.96E-05,3.96E-04,3.78E-04,2.50E-04,3.00E-04,2.84E-03,1.32E-03,5.40E-04
HexCer(d18:0/24:0),2.18E-03,3.48E-04,7.72E-05,8.55E-04,5.60E-04,1.36E-03,4.97E-03,8.30E-04,1.48E-03,1.14E-03,5.97E-04,1.69E-03,3.30E-03,5.14E-04,3.96E-04,1.51E-03,2.50E-04,3.00E-04,4.53E-03,3.59E-04,3.67E-04
HexCer(d18:0/26:1),3.58E-04,3.02E-04,7.72E-05,4.75E-05,1.93E-04,3.24E-05,1.41E-04,2.41E-04,1.30E-04,1.19E-05,1.07E-04,9.32E-06,6.05E-05,5.78E-04,4.27E-05,1.51E-03,2.50E-04,3.00E-04,1.47E-04,1.56E-04,5.60E-05
HexCer(d18:0/26:0),2.03E-04,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,2.46E-04,1.30E-05,2.11E-04,1.02E-04,9.32E-06,6.05E-05,5.14E-04,4.27E-05,3.78E-04,1.32E-03,3.00E-04,5.79E-05,1.32E-04,7.33E-04
SM(d18:1/16:0),3.58E+01,1.22E+01,7.30E+00,1.90E+01,9.66E+00,7.67E+00,4.42E+01,2.38E+01,1.93E+01,4.96E+01,3.16E+01,2.37E+01,1.87E+01,9.93E+00,6.13E+00,3.43E+01,9.56E+00,7.08E+00,6.00E+01,3.95E+01,2.44E+01
SM(d18:1/18:0),1.56E+00,5.44E-01,4.07E-01,8.12E-01,3.71E-01,2.71E-01,1.79E+00,8.30E-01,5.89E-01,2.00E+00,1.02E+00,1.00E+00,8.47E-01,4.15E-01,1.47E-01,1.65E+00,4.55E-01,4.09E-01,2.53E+00,1.44E+00,5.50E-01
SM(d18:1/20:0),5.61E-01,1.47E-01,2.25E-01,3.11E-01,1.17E-01,3.66E-02,6.62E-01,3.04E-01,1.72E-01,7.33E-01,2.46E-01,1.69E-01,3.19E-01,1.26E-01,5.82E-02,5.49E-01,1.23E-01,1.69E-01,9.90E-01,3.47E-01,1.83E-01
SM(d18:1/22:0),4.83E+00,7.86E-01,2.67E-01,2.68E+00,6.10E-01,1.18E-01,5.52E+00,1.49E+00,9.89E-01,6.25E+00,1.51E+00,1.02E+00,2.75E+00,7.31E-01,4.35E-01,4.81E+00,6.37E-01,5.45E-01,8.63E+00,2.39E+00,8.66E-01
SM(d18:1/24:1),1.87E+01,2.72E+00,3.65E-01,1.04E+01,2.39E+00,8.26E-01,2.26E+01,6.36E+00,4.00E+00,2.59E+01,6.67E+00,3.90E+00,1.10E+01,2.44E+00,1.24E+00,1.99E+01,2.64E+00,1.47E+00,3.37E+01,9.93E+00,2.24E+00
SM(d18:1/24:0),1.37E+01,1.81E+00,3.09E-01,7.52E+00,1.27E+00,2.83E-01,1.57E+01,3.32E+00,2.12E+00,1.79E+01,3.51E+00,2.37E+00,8.47E+00,1.44E+00,5.90E-01,1.37E+01,1.73E+00,9.80E-01,2.53E+01,5.15E+00,1.02E+00
SM(d18:1/26:1),2.18E-01,1.66E-02,2.11E-02,1.21E-01,1.78E-02,3.24E-05,2.62E-01,5.25E-02,3.06E-02,3.02E-01,8.08E-02,6.44E-02,1.21E-01,3.34E-02,4.27E-05,2.13E-01,2.14E-02,3.00E-04,4.00E-01,8.38E-02,5.91E-03
SM(d18:1/26:0),8.57E-02,4.08E-02,1.69E-02,4.41E-02,4.02E-02,3.24E-05,1.02E-01,4.15E-02,1.48E-02,1.19E-01,3.34E-02,2.37E-02,6.27E-02,8.57E-02,3.72E-02,1.10E-01,1.05E-01,6.54E-02,1.68E-01,2.15E-02,5.60E-05
SM(d18:0/16:0),3.12E+00,2.42E+00,1.97E+00,2.33E+00,1.27E+00,2.06E+00,3.59E+00,2.57E+00,4.24E+00,4.53E+00,2.81E+00,5.59E+00,2.53E+00,2.44E+00,2.10E+00,7.55E+00,4.23E+00,5.99E+00,4.74E+00,2.99E+00,5.60E+00
SM(d18:0/18:0),1.07E-01,7.56E-02,5.76E-02,1.38E-01,4.22E-02,1.00E-01,2.21E-01,7.47E-02,1.95E-01,2.11E-01,6.15E-02,3.39E-01,5.17E-02,1.08E-01,6.44E-02,2.40E-01,2.18E-01,2.02E-01,2.53E-01,1.91E-01,2.14E-01
SM(d18:0/20:0),1.40E-01,1.81E-02,7.72E-05,1.12E-01,7.12E-02,2.18E-02,1.08E-01,8.85E-02,8.95E-02,1.55E-01,1.30E-01,1.69E-01,6.05E-02,2.44E-02,1.86E-01,6.80E-02,5.01E-02,3.00E-04,2.11E-01,1.68E-01,9.57E-02
SM(d18:0/22:0),8.72E-02,6.20E-02,7.72E-05,4.84E-02,2.80E-05,5.43E-02,1.02E-01,1.47E-01,1.93E-01,1.53E-01,1.40E-01,2.88E-01,1.76E-02,4.96E-05,4.11E-02,2.47E-01,1.55E-01,3.54E-02,1.26E-01,1.32E-01,2.24E-01
SM(d18:0/24:1),9.03E-01,2.27E-01,2.81E-01,5.36E-01,1.88E-01,5.19E-01,1.63E+00,6.64E-01,1.91E+00,1.57E+00,6.67E-01,2.37E+00,5.72E-01,3.16E-01,6.36E-01,1.17E+00,1.18E-01,1.25E+00,2.00E+00,9.45E-01,7.54E-01
SM(d18:0/24:0),1.26E-01,1.81E-02,5.76E-02,4.49E-02,4.93E-02,5.07E-02,2.26E-01,5.25E-02,1.58E-01,1.64E-01,3.86E-02,3.73E-01,6.38E-02,2.44E-02,2.02E-01,4.19E-01,2.50E-04,2.02E-01,1.79E-01,8.50E-02,1.83E-01
SM(d18:0/26:1),1.87E-02,8.32E-05,2.81E-02,9.50E-03,2.80E-05,1.36E-02,7.45E-03,1.52E-05,4.47E-03,2.07E-02,1.28E-02,2.54E-02,9.02E-02,4.96E-05,4.27E-05,3.78E-04,9.56E-02,1.09E-01,4.32E-02,6.70E-03,6.93E-02
SM(d18:0/26:0),1.20E-02,1.39E-02,2.81E-02,6.39E-03,2.09E-02,1.18E-01,1.46E-02,1.52E-05,2.05E-02,1.10E-02,6.85E-03,3.22E-02,1.65E-02,4.96E-05,4.27E-05,3.78E-04,2.50E-04,1.63E-01,3.16E-02,6.70E-03,5.60E-05
cholesterol,249.23985,181.42838,154.48783,155.52208,111.90643,129.74325,303.57591,259.97694,282.60667,344.76498,316.09191,338.95538,153.96463,117.32999,108.63734,116.73027,43.22513,70.80999,326.38279,454.79704,448.1031
desmosterol,1.32E+00,1.29E+00,1.10E+00,9.50E-01,8.65E-01,8.26E-01,1.82E+00,2.10E+00,2.10E+00,1.85E+00,2.28E+00,2.03E+00,8.14E-01,8.84E-01,6.67E-01,4.26E-01,3.09E-01,4.63E-01,1.58E+00,2.75E+00,2.75E+00
lanosterol,6.54E-02,6.35E-02,5.34E-02,1.30E-01,5.60E-02,6.49E-02,1.19E-01,4.43E-02,8.48E-02,9.05E-02,5.62E-02,5.42E-02,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,1.47E-01,1.32E-01,1.22E-01
7-dehydro-cholesterol,6.85E-01,8.32E-05,3.51E-01,4.75E-05,4.88E-01,1.95E-01,4.42E-01,5.53E-01,6.12E-01,4.74E-01,5.62E-01,3.90E-01,6.05E-05,4.78E-01,2.72E-01,3.78E-04,2.50E-04,3.00E-04,4.74E-01,1.08E+00,5.60E-05
22R-hydroxy-cholesterol,9.19E-02,8.32E-05,7.72E-05,4.75E-05,2.80E-05,3.24E-05,1.52E-05,1.52E-05,1.30E-05,1.27E-01,9.66E-06,9.32E-06,6.05E-05,4.96E-05,5.66E-01,3.78E-04,2.50E-04,3.00E-04,5.79E-05,6.58E-05,5.60E-05
25-hydroxy-cholesterol,4.21E-02,3.48E-02,7.72E-05,5.53E-02,2.09E-02,3.66E-02,1.41E-02,2.13E-02,3.06E-02,2.11E-02,1.19E-02,9.32E-06,6.05E-05,4.96E-05,4.27E-05,3.78E-04,2.50E-04,3.00E-04,2.53E-02,6.58E-05,6.31E-02
27-hydroxy-cholesterol,6.70E-02,8.92E-02,1.54E-01,1.04E-01,7.12E-02,1.30E-01,3.59E-02,2.63E-02,7.30E-02,2.15E-02,2.99E-02,6.27E-02,6.05E-05,4.96E-05,4.35E-02,3.78E-04,2.50E-04,3.00E-04,1.58E-01,1.91E-01,2.65E-01
4b-hydroxy-cholesterol,2.49E-02,2.57E-02,3.09E-02,1.73E-02,1.12E-02,1.18E-02,2.26E-02,2.54E-02,1.44E-02,1.92E-02,1.93E-02,1.59E-02,2.09E-02,1.08E-02,2.17E-02,3.78E-04,2.50E-04,3.00E-04,3.26E-02,5.03E-02,8.05E-02
6a-hydroxy-cholestanol,0.85676197,1.14904643,1.96620881,1.03681388,0.96646467,0.70769045,0.68994526,0.71908516,0.56521334,0.40940841,0.4565772,0.45758976,2.08952002,1.53431519,1.70715823,1.92261614,1.50150447,1.68854582,2.21098021,2.63303548,2.54604037
7-oxo-cholesterol,6.54E-01,4.84E-01,2.81E-01,4.41E-01,3.36E-01,2.12E-01,3.04E-01,3.04E-01,2.31E-01,3.45E-01,2.81E-01,2.20E-01,2.97E-01,1.81E-01,3.34E-01,1.72E-01,1.05E-01,1.03E-01,3.90E-01,5.51E-01,4.38E-01
7a-hydroxy-cholesterol,8.72E-02,1.66E-01,5.62E-02,5.10E-02,4.43E-02,1.65E-02,2.01E-02,3.87E-02,2.26E-02,3.23E-02,2.81E-02,8.47E-02,6.05E-05,2.35E-02,7.76E-02,3.78E-04,2.50E-04,3.00E-04,5.26E-02,9.34E-02,8.05E-02
cholestenone,4.98E-02,4.69E-02,4.92E-02,3.80E-02,3.15E-02,2.95E-02,3.86E-02,3.60E-02,2.83E-02,3.02E-02,1.93E-02,2.20E-02,3.52E-02,3.07E-02,3.18E-02,3.78E-04,2.50E-04,3.00E-04,6.21E-02,5.63E-02,4.28E-02
