,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
GPCho(40:1),4.66E+00,6.01E+00,7.81E+00,6.16E+00,5.55E+00,5.61E+00,5.66E+00,6.13E+00,7.12E+00,4.30E+00,4.86E+00,3.70E+00,1.50E-05,2.69E+00,3.03E+00,1.52E-05,2.37E+00,2.46E+00,2.58E+00,2.45E+00,2.20E+00,1.06E-05,9.47E-06,1.06E-05,4.94E+00,5.76E+00,3.95E+00,3.23E+00,3.85E+00,3.05E+00,6.29E+00,4.99E+00,5.98E+00,3.69E+00,4.25E+00,3.09E+00,1.85E+00,2.58E+00,2.89E+00,1.93E+00,1.91E+00,2.27E+00
GPCho(42:2),8.86E+00,1.07E+01,1.20E+01,8.54E+00,6.91E+00,7.47E+00,9.67E+00,1.13E+01,1.10E+01,7.57E+00,6.59E+00,5.34E+00,1.50E-05,3.30E+00,3.73E+00,1.52E-05,3.71E+00,3.36E+00,3.65E+00,3.51E+00,2.54E+00,3.46E+00,9.47E-06,1.06E-05,6.58E+00,8.55E+00,6.97E+00,5.09E+00,4.92E+00,4.67E+00,3.76E-04,1.09E+01,9.24E+00,8.15E+00,4.87E+00,5.39E+00,3.19E+00,4.92E+00,5.08E+00,3.32E+00,3.09E+00,3.84E+00
GPCho(42:1),9.61E+00,1.09E+01,1.05E+01,9.80E+00,8.53E+00,8.41E+00,9.67E+00,1.09E+01,1.10E+01,8.04E+00,6.94E+00,5.87E+00,1.50E-05,3.30E+00,4.67E+00,1.52E-05,3.71E+00,4.40E+00,3.65E+00,3.68E+00,2.88E+00,2.50E+00,5.68E+00,1.06E-05,6.47E+00,8.19E+00,7.28E+00,5.97E+00,6.26E+00,5.83E+00,1.16E+01,1.36E+01,9.24E+00,6.52E+00,5.76E+00,7.54E+00,2.37E+00,4.33E+00,5.08E+00,3.32E+00,3.90E+00,4.36E+00
GPEtn(32:0),1.952208773,2.346240022,1.672542692,2.099018468,2.031248799,1.698522592,3.199698746,4.104379155,3.723112792,4.729301878,4.855324567,3.053638819,1.556982714,2.007304786,1.563673629,2.177019697,1.913852459,1.888237015,1.612082146,1.350062531,1.370773092,1.53652649,1.722689583,1.576968524,1.206410074,1.530782531,1.471517803,1.469079318,1.252590318,0.72690332,0.000375776,0.000249664,1.195138751,0.000298851,1.328865687,0.754043518,1.544395065,1.523072888,1.794542124,1.818957073,1.633966066,1.658322367
GPEtn(34:2),8.409515,8.94504,8.641471,8.396074,7.583329,7.728278,8.185276,10.37889,8.760265,9.931534,11.444694,10.570288,8.194646,11.82385,13.069511,12.125173,11.425985,11.89848,6.233384,5.961315,6.76925,5.95404,7.752103,11.731107,8.773891,10.805524,14.715178,10.773248,15.210025,12.563761,6.149058,7.716896,8.691918,8.150493,10.630925,9.694845,7.207177,5.506494,7.876046,6.205854,6.081985,7.418811
GPEtn(34:1),15.01699,16.1304,13.10158,19.59084,16.24999,14.43744,18.6029,21.70132,20.80563,26.01116,28.78514,22.90229,15.56983,18.42321,17.73719,22.87249,20.56677,20.17568,11.82194,11.39663,12.18465,15.36526,17.2269,23.07759,14.25757,14.40736,18.58759,17.62895,21.47298,17.94823,10.24843,11.34838,11.95139,16.84435,18.16116,14.36273,13.38476,10.89583,13.95755,12.8397,13.61638,14.83762
GPEtn(34:0),3.60E+00,3.81E+00,2.37E+00,3.22E+00,2.84E+00,2.46E+00,4.91E+00,6.13E+00,5.09E+00,7.09E+00,6.24E+00,4.52E+00,1.39E+00,1.24E+00,1.87E+00,1.30E+00,2.03E+00,2.04E+00,1.91E+00,1.75E+00,1.46E+00,1.86E+00,1.72E+00,1.73E+00,1.21E+00,1.62E+00,7.36E-01,5.39E-05,1.61E+00,7.27E-01,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.06E+00,2.11E+00,2.59E+00,2.78E+00,2.63E+00,3.40E+00
GPEtn(36:4),6.46E+00,6.45E+00,6.97E+00,6.58E+00,6.23E+00,4.50E+00,2.46E+00,8.02E+00,3.01E-05,3.03E+00,3.19E+00,5.58E+00,7.10E+00,8.52E+00,8.87E+00,8.54E+00,7.43E+00,6.47E+00,5.37E+00,5.08E+00,5.75E+00,6.15E+00,6.03E+00,6.92E+00,7.13E+00,6.84E+00,9.29E+00,7.35E+00,9.84E+00,8.97E+00,8.20E+00,9.08E+00,8.15E+00,7.06E+00,8.42E+00,6.82E+00,5.87E+00,4.57E+00,5.88E+00,2.57E+00,2.18E+00,4.89E+00
GPEtn(36:3),6.16E+00,7.04E+00,6.55E+00,5.74E+00,5.96E+00,6.03E+00,8.19E+00,8.02E+00,8.21E+00,8.04E+00,9.02E+00,7.63E+00,6.83E+00,8.52E+00,9.57E+00,9.09E+00,9.14E+00,9.05E+00,4.73E+00,5.08E+00,5.25E+00,4.80E+00,5.51E+00,8.27E+00,7.79E+00,8.37E+00,1.08E+01,8.32E+00,1.07E+01,9.87E+00,5.81E+00,7.26E+00,7.61E+00,2.99E-04,7.97E+00,7.54E+00,6.07E+00,4.80E+00,5.98E+00,5.35E+00,5.27E+00,5.32E+00
GPEtn(36:2),28.53228,29.328,27.87571,25.18822,20.31249,25.47784,24.55583,30.19313,26.2808,24.59237,25.66386,31.12363,27.31549,38.49626,37.34146,30.31293,28.56496,36.21276,19.55993,21.03994,22.00006,18.43832,20.67227,34.61638,33.99883,37.81933,48.01795,32.31974,42.05125,43.97316,32.11175,40.85416,41.82986,24.99485,40.75188,43.0882,24.71032,18.74551,22.93026,14.97965,16.33966,22.69283
GPEtn(36:1),2.10E+01,2.35E+01,1.95E+01,2.38E+01,2.17E+01,2.55E+01,2.68E+01,3.35E+01,2.74E+01,3.17E+01,3.81E+01,3.46E+01,1.88E+01,2.03E+01,1.98E+01,2.62E+01,2.54E+01,3.10E+01,1.44E+01,1.49E+01,1.59E+01,2.11E+01,2.24E+01,3.27E+01,1.86E+01,1.89E+01,2.09E+01,2.35E+01,3.04E+01,2.87E+01,1.43E+01,1.54E+01,1.68E+01,2.28E+01,2.57E+01,2.80E+01,1.96E+01,1.52E+01,5.48E-05,1.82E+01,1.82E+01,2.53E+01
GPEtn(36:0),6.307136,7.62528,7.247685,9.375616,9.614578,7.558426,9.673508,11.794193,9.855299,13.242045,13.872356,9.98305,5.463097,7.424278,6.301371,7.716019,7.141241,8.794529,6.233384,5.961315,6.938481,7.298501,7.752103,8.461782,6.361071,7.293729,7.125244,7.541274,8.410249,6.99981,6.285704,7.262961,6.518939,6.520395,8.416149,6.822298,5.868701,5.623654,8.175136,6.312851,6.081985,8.553452
GPEtn(38:6),3.003398112,2.932800027,2.508814039,2.938625855,2.572915146,1.783448722,1.488231975,4.576146874,3.77786445,4.540129803,4.50851567,3.934496171,3.004703482,2.612245954,3.033993608,3.858009589,2.34232689,0.594923991,1.590587717,2.454659147,2.200006197,2.304789735,1.722689583,2.884698519,2.851514719,2.881472999,3.252828827,2.938158636,2.773592846,2.423011067,0.000375776,0.000249664,3.150820345,0.000298851,2.436253759,2.836639901,2.676951446,2.460348511,0.907240741,0.802481062,2.360173206,1.92016274
GPEtn(38:5),9.911214,11.87784,10.453392,8.116205,6.635413,7.89813,15.626436,17.455406,15.330464,13.714975,15.6064,15.268194,7.375181,10.448984,11.669206,7.716019,7.998189,10.346504,7.737994,7.714643,7.446175,6.146106,6.718489,7.692529,10.309322,11.705984,13.166212,7.83509,9.841781,10.768938,6.832287,8.170832,9.778408,7.063761,8.859105,9.335777,11.325564,8.904118,10.966646,6.633843,6.535864,8.728012
GPEtn(38:4),19.52209,20.5296,19.513,16.79215,16.24999,15.2867,29.02052,31.13667,27.92335,26.48409,28.43833,26.42572,12.29197,17.87326,18.43735,15.70761,15.71073,20.17568,12.89666,12.79929,13.70773,11.90808,12.92017,15.38506,17.54778,19.81013,20.13656,16.64957,19.68356,18.84564,12.98134,16.7956,19.01357,11.95406,16.8323,17.59435,18.53274,15.23073,17.94542,12.8397,12.70862,14.83762
GPEtn(38:3),14.716651,16.1304,13.937856,12.734045,11.781243,11.889658,21.579364,22.644851,21.353147,21.754789,22.889387,16.442671,9.56042,10.723957,10.969054,10.747312,10.569036,12.415805,9.887437,9.643304,9.47695,8.642962,8.957986,10.769541,12.064101,11.705984,12.391729,9.793862,13.420611,11.66635,8.198744,9.986572,11.408143,9.780592,9.745015,11.849255,12.355161,10.310032,12.960582,9.73677,9.077589,11.346416
GPEtn(38:2),5.856626,6.45216,6.132657,5.877252,4.874997,5.690051,6.622632,7.548284,7.665232,8.039813,6.936178,5.872382,3.824168,3.574652,4.901067,4.133582,5.427343,7.501216,3.654053,3.857322,3.723087,3.457185,3.100841,5.769397,5.044988,5.312716,5.343933,4.701054,5.278773,6.551104,3.689435,3.631481,4.182986,3.640554,4.429552,5.386025,4.427266,3.631943,4.885142,3.637914,3.812587,5.935048
GPEtn(38:1),4.20E+00,3.96E+00,4.46E+00,3.92E+00,3.39E+00,4.50E+00,4.84E+00,5.66E+00,5.04E+00,5.20E+00,5.90E+00,5.64E+00,3.55E+00,4.67E+00,4.43E+00,3.58E+00,3.14E+00,5.17E+00,3.65E+00,3.51E+00,3.72E+00,3.27E+00,3.10E+00,1.06E-05,4.06E+00,3.60E+00,4.41E+00,3.62E+00,3.49E+00,3.86E+00,2.94E+00,4.09E+00,3.91E+00,2.99E-04,4.43E+00,3.95E+00,3.81E+00,3.51E+00,3.99E+00,2.46E+00,2.54E+00,4.19E+00
GPEtn(38:0),6.607476,9.67824,8.223335,9.095747,6.770829,8.322761,8.185276,10.37889,9.307782,9.931534,10.057458,9.395812,6.555717,10.174011,9.568749,8.818308,7.998189,9.311854,7.52305,8.415974,7.784637,7.490567,8.096641,10.000288,8.225523,8.914557,8.519314,7.83509,8.410249,8.974115,6.217381,9.078702,8.148673,7.063761,7.530239,7.540435,6.795338,6.795248,7.676652,6.205854,6.172761,7.06969
GPEtn(40:6),6.16E+00,7.04E+00,6.13E+00,5.74E+00,5.69E+00,5.94E+00,1.04E+01,1.27E+01,1.15E+01,1.14E+01,1.28E+01,1.06E+01,3.55E+00,4.95E+00,4.43E+00,4.68E+00,4.86E+00,6.98E+00,4.08E+00,3.86E+00,3.55E+00,3.65E+00,3.96E+00,4.81E+00,4.94E+00,5.49E+00,5.81E+00,5.29E+00,6.35E+00,6.82E+00,3.76E-04,2.50E-04,2.99E-04,2.99E-04,6.20E+00,1.97E-04,5.56E+00,5.04E+00,6.08E+00,4.71E+00,5.17E+00,5.59E+00
GPEtn(40:5),6.006796,6.74544,6.272035,7.416532,7.312496,7.728278,9.673508,11.794193,9.307782,12.769115,14.219165,11.157526,3.551013,4.124599,4.200914,4.684726,5.427343,7.242553,3.654053,3.857322,3.046162,4.033382,4.306724,5.384771,4.277272,4.77244,4.337105,4.99487,6.978717,6.910069,4.167695,4.993286,5.052177,5.433662,5.758418,7.899504,4.942064,4.21774,5.28393,5.135879,5.718881,6.72057
GPEtn(40:4),3.904417546,3.812640035,3.345085385,5.317513451,4.197914185,6.199607462,5.506458307,6.604748066,6.022682457,7.566883005,7.282986851,6.459620579,1.994030493,2.474759325,2.193810763,2.700606712,3.427795449,5.173252096,2.364387147,2.103993555,2.369237443,2.496855547,2.411765416,4.423204396,2.632167433,2.881472999,3.175380522,3.427851742,3.936712427,5.653692489,2.527946103,0.000249664,3.259469322,3.477543815,4.872507519,5.026956787,2.676951446,2.460348511,3.289993895,3.316921722,2.904828562,4.713126727
GPSer(34:2),4.20E-01,4.69E-01,8.92E-01,8.68E-01,7.18E-01,7.30E-01,5.73E-01,6.13E-01,6.02E-01,9.46E-01,4.16E-01,4.82E-01,1.50E-05,8.25E-01,8.64E-01,1.02E+00,6.86E-01,6.21E-01,7.52E-01,8.77E-01,1.03E+00,9.22E-01,8.44E-01,1.06E-05,7.13E-01,7.38E-01,7.20E-01,6.37E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.16E-01,4.29E-01,2.89E-01,3.09E-01,2.44E-01
GPSer(34:1),2.703058,3.07944,3.763221,3.778233,3.656248,2.63271,1.86029,2.500369,2.518576,3.830735,2.670429,1.761715,9.287265,5.499465,5.134451,6.613731,4.570394,3.879939,5.588551,6.487313,8.1231,8.066764,7.235296,6.53865,5.812703,3.962025,5.189036,4.701054,4.205125,3.499905,3.826081,3.4953,4.780555,4.781623,4.208075,3.590683,3.08879,2.343189,2.79151,2.139949,2.269397,2.182003
GPSer(34:0),4.20E-01,4.84E-01,6.13E-01,5.74E-01,4.74E-01,4.33E-01,2.68E-01,3.63E-01,3.83E-01,4.73E-01,3.47E-01,1.59E-01,5.74E-01,3.30E-01,4.20E-01,4.13E-01,3.43E-01,3.36E-01,6.66E-01,7.19E-01,7.78E-01,9.22E-01,5.51E-01,5.00E-01,2.08E-01,3.51E-01,1.32E-01,1.86E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,3.63E-01,3.79E-01,3.53E-01,3.72E-01,2.27E-01
GPSer(36:4),5.11E-01,6.01E-01,8.22E-01,8.26E-01,6.36E-01,6.88E-01,4.17E-01,5.66E-01,5.31E-01,6.62E-01,5.55E-01,3.52E-01,9.29E-01,5.77E-01,4.67E-01,6.34E-01,4.57E-01,3.36E-01,5.80E-01,8.59E-01,8.97E-01,8.64E-01,6.20E-01,1.06E-05,7.46E-01,5.49E-01,8.52E-01,6.07E-01,8.14E-01,4.94E-01,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,6.80E-01,3.51E-01,3.99E-01,3.32E-01,3.36E-01,2.97E-01
GPSer(36:2),2.703058,2.9328,3.623843,2.658757,2.572915,2.293005,1.86029,2.453192,2.29957,2.648409,2.080853,1.585543,7.375181,4.949519,4.434298,4.409154,2.856496,3.362614,4.943719,6.136648,7.107712,5.185777,4.651262,5.192457,4.82564,3.691887,4.801795,2.938159,2.863064,2.781976,3.621112,3.268333,4.23731,2.336475,1.949003,3.123895,3.19175,2.10887,2.592116,1.604962,1.724742,2.007443
GPSer(36:1),12.764442,14.664,15.331641,16.792148,14.895825,13.588181,8.929392,13.209496,10.950332,16.079626,10.751076,9.395812,40.973229,22.547807,20.304419,23.699202,16.282028,19.917021,25.793314,33.313231,33.846249,34.571846,25.840344,34.616382,24.128201,17.108746,18.587593,16.649566,14.315318,15.255996,21.180089,18.157403,19.013571,20.10455,17.275254,21.185032,13.384757,10.77867,12.960582,9.522775,9.985348,11.346416
GPSer(36:0),9.46E+00,1.19E+01,1.53E+01,1.96E+01,1.90E+01,1.61E+01,6.62E+00,8.96E+00,9.86E+00,9.93E+00,7.28E+00,5.81E+00,1.50E-05,1.70E+00,4.90E-01,4.41E-01,1.63E+00,5.43E-01,8.17E+00,9.47E+00,8.12E+00,9.03E+00,1.40E+00,1.15E+00,1.32E+01,1.08E+01,1.01E+01,1.18E+01,1.16E+01,1.35E+01,3.48E+01,3.22E+01,3.53E+01,4.02E+01,2.92E+01,5.03E+01,2.88E+00,2.23E+00,1.89E+00,3.00E+00,5.27E+00,5.94E+00
GPSer(38:5),9.76E-01,1.17E+00,1.53E+00,8.68E-01,1.34E+00,1.19E+00,6.77E-01,9.44E-01,8.21E-01,8.99E-01,7.28E-01,4.87E-01,1.23E+00,9.90E-01,8.40E-01,8.54E-01,6.00E-01,6.21E-01,1.07E+00,1.28E+00,1.35E+00,1.17E+00,8.10E-01,6.92E-01,1.21E+00,9.00E-01,1.08E+00,9.79E-01,1.16E+00,9.87E-01,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.13E+00,2.91E+00,4.53E-01,9.14E-01,4.89E-01,5.46E-01,8.26E-01,4.80E-05
GPSer(38:4),3.003398,3.37272,3.9026,3.498364,3.385415,2.717636,1.934702,2.736253,3.011341,3.263218,2.531705,1.585543,6.555717,3.849626,3.500762,3.85801,2.513717,3.103951,4.728774,5.961315,5.923094,4.993711,4.134455,4.423204,3.61923,3.061565,3.872415,2.546404,2.505181,2.153788,3.142852,3.35912,3.422443,3.260197,2.259072,2.441665,3.19175,2.10887,2.891207,2.032952,2.087846,2.618404
GPSer(38:3),1.8020389,2.05296,2.2300569,2.0990185,1.7604156,1.4437442,1.1905856,1.7455406,1.6973014,2.2227719,1.56064,0.8221335,4.3704778,2.6947379,2.8006095,2.4250346,1.8852875,1.7330395,4.0839414,4.0326543,4.5692436,3.6492504,2.5840344,2.8846985,2.3031465,1.8909667,2.3234492,1.5670179,1.5210025,1.2563761,2.3913004,1.8157403,2.1186551,2.2278015,1.6389343,2.3339442,1.6473547,1.5230729,1.8942389,1.1769722,1.1800866,1.3092019
GPSer(38:2),0.961087396,1.187784011,0.98958776,1.06350269,0.961457765,0.849261296,0.58041047,0.99071221,0.766523222,1.040446413,0.693617795,0.540259176,1.912084034,1.484855595,1.28361268,1.43297499,0.914078786,1.06051668,1.977487432,2.279326351,2.030774951,1.690179139,1.688235791,1.788513082,1.316083717,0.990506343,0.929379665,0.773715108,0.715765896,0.825618586,0.000375776,0.000249664,1.412436706,0.000298851,0.000243625,0.000197488,0.916341072,0.738104553,0.967058812,0.748982324,0.73528473,0.637144909
GPSer(38:1),0.660747585,0.747864007,0.836271346,0.923568126,0.947916106,1.019113555,0.565528151,0.802005122,0.657019904,1.087739432,0.901703134,0.47566297,1.994030493,1.044898382,0.770167608,1.240074511,0.799818938,1.034650419,1.375643431,1.735794683,1.624619961,1.767005464,1.15420202,1.807744406,1.063834338,0.648331425,0.85193136,0.714951935,0.814183707,0.69100686,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,0.628053993,0.585797265,0.638059422,0.577786364,0.644508837,0.672056959
GPSer(40:6),2.552888,2.34624,3.066328,2.518822,2.437499,1.783449,1.488232,2.170132,2.080563,2.648409,1.803406,1.174476,5.189942,3.574652,3.500762,3.031293,2.113807,2.431428,4.728774,5.084651,6.261556,4.033382,3.100841,3.653951,3.290209,2.701381,3.794967,1.958772,1.878885,1.794823,3.211175,2.269675,3.313794,2.771168,2.347663,2.477572,2.265113,1.991711,2.79151,1.604962,1.633966,1.745602
GPSer(40:5),1.8020389,2.05296,2.0906784,1.6792148,1.7604156,1.3588181,1.1905856,1.8398941,1.4782948,2.0335998,1.3178738,0.8808574,4.3704778,2.6672406,2.8006095,2.480149,1.7710276,1.8623708,4.2988857,4.0326543,4.4000124,3.073053,2.7563033,3.269325,2.6321674,2.0710587,2.5557941,1.5670179,1.5210025,1.166635,1.9813632,1.8157403,1.8470326,1.9561184,1.6389343,1.1849255,1.7503144,1.4059134,1.9939357,1.0699747,1.3616384,1.3092019
GPSer(40:4),0.855968462,0.835848008,1.017463471,1.06350269,0.974999424,1.104039685,0.61017511,0.802005122,0.766523222,0.993153394,0.797660465,0.47566297,2.15792341,1.484855595,1.353627917,1.267631722,0.885513824,1.06051668,1.719554289,1.928660758,2.030774951,1.843831788,1.515966833,1.903901023,1.316083717,0.990506343,1.084276276,0.724745797,0.89470737,0.870489161,1.093165882,0.000249664,1.195138751,0.000298851,0.885910458,0.000197488,0.792789467,0.702956717,0.857392348,0.641984849,0.635431248,0.776793109
GPSer(40:3),0.690781566,0.747864007,0.766582067,0.909574669,0.839582837,0.849261296,0.424146113,0.660474807,0.657019904,0.851274338,0.762979575,0.422811529,1.529667227,1.099893033,0.770167608,1.515646624,0.914078786,0.905319117,1.440126717,1.507862048,1.235388095,1.594146234,1.36092477,1.807744406,0.877389144,0.756386662,0.85193136,0.754127383,0.751554191,0.67305863,0.000375776,0.000249664,0.651893864,0.000298851,0.000243625,0.000197488,0.658941894,0.503785648,0.58821103,0.599185859,0.689896783,0.689512984
GPSer(40:2),3.90E-01,3.52E-01,3.76E-01,5.88E-01,4.06E-01,3.14E-01,2.31E-01,3.68E-01,3.12E-01,4.26E-01,2.67E-01,2.35E-01,1.09E+00,4.95E-01,5.13E-01,3.31E-01,3.71E-01,3.62E-01,8.17E-01,7.36E-01,7.45E-01,7.49E-01,4.13E-01,5.00E-01,5.70E-01,3.42E-01,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.47E-01,2.93E-01,2.99E-01,2.14E-01,2.54E-01,2.79E-01
GPSer(40:1),4.05E-01,2.93E-01,7.67E-05,5.74E-01,7.45E-05,4.67E-05,2.98E-01,3.54E-01,3.56E-01,5.20E-01,3.43E-01,3.23E-05,8.74E-01,3.85E-01,3.97E-01,6.06E-01,2.43E-01,3.36E-01,6.23E-01,6.66E-01,6.26E-01,7.11E-01,5.51E-01,6.15E-01,5.48E-01,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.88E-01,2.46E-01,3.49E-01,3.10E-01,2.18E-01,2.53E-01
GPSer(40:0),5.56E-01,8.07E-01,8.08E-01,5.74E-01,6.50E-01,5.52E-01,4.24E-01,6.13E-01,4.38E-01,6.62E-01,4.86E-01,4.23E-01,7.38E-01,6.05E-01,5.13E-01,5.24E-01,4.28E-01,5.43E-01,5.80E-01,9.47E-01,5.42E-01,4.99E-01,4.31E-01,5.38E-01,4.61E-01,7.83E-01,7.05E-01,5.88E-01,4.92E-05,6.28E-01,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.15E-01,4.10E-01,4.79E-01,3.53E-01,2.72E-01,3.93E-01
GPSer(42:4),8.71E-01,7.33E-01,1.53E+00,1.54E+00,1.49E+00,1.36E+00,6.32E-01,8.49E-01,8.76E-01,8.51E-01,6.59E-01,5.87E-01,1.50E-05,4.40E-01,3.03E-01,3.58E-01,3.43E-01,4.14E-01,4.51E-01,5.44E-01,3.72E-01,6.53E-01,4.31E-01,4.04E-01,8.01E-01,8.37E-01,8.52E-01,9.79E-01,9.84E-01,1.08E+00,2.87E+00,2.77E+00,2.93E+00,3.26E+00,2.21E+00,2.91E+00,5.66E-05,3.28E-01,4.19E-01,4.71E-01,4.27E-01,4.36E-01
GPSer(42:3),4.96E-01,7.19E-01,7.81E-01,9.94E-01,9.89E-01,7.64E-01,3.94E-01,5.66E-01,5.42E-01,5.68E-01,4.16E-01,3.88E-01,1.50E-05,4.67E-01,3.50E-01,5.51E-01,3.71E-01,4.91E-01,4.51E-01,4.73E-01,5.42E-01,6.15E-01,4.48E-01,5.96E-01,9.98E-01,8.46E-01,8.52E-01,1.08E+00,1.16E+00,1.44E+00,3.21E+00,3.31E+00,2.50E+00,3.42E+00,2.66E+00,4.67E+00,5.66E-05,3.16E-01,4.29E-01,4.07E-01,3.54E-01,3.93E-01
GPSer(42:2),2.85E-01,4.11E-01,4.46E-01,6.72E-01,5.01E-01,5.77E-01,3.42E-01,5.19E-01,2.74E-01,4.73E-01,3.19E-01,3.23E-01,1.50E-05,2.20E-01,1.07E-01,2.26E-01,2.54E-01,2.85E-01,2.00E-01,4.21E-01,2.03E-01,4.03E-01,4.82E-01,1.06E-05,1.02E-01,1.80E-01,4.26E-05,4.31E-01,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,1.86E-01,1.97E-04,5.66E-05,2.93E-01,1.30E-01,5.88E-05,4.99E-05,3.14E-01
GPSer(42:1),3.75E-01,3.96E-01,7.67E-05,5.04E-01,5.15E-01,5.61E-01,2.83E-01,3.87E-01,3.89E-01,5.20E-01,3.81E-01,3.17E-01,1.50E-05,5.22E-01,1.49E-01,3.86E-01,3.43E-01,2.85E-01,2.79E-01,3.51E-01,2.71E-01,7.87E-01,3.10E-01,1.06E-05,6.03E-05,3.42E-01,5.73E-01,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,4.22E-01,2.59E-01,3.42E-01,3.99E-01,3.40E-01
