,Nuclei_Control,Nuclei_Control,Nuclei_Control,Nuclei_KLA,Nuclei_KLA,Nuclei_KLA,Mitochondria_Control,Mitochondria_Control,Mitochondria_Control,Mitochondria_KLA,Mitochondria_KLA,Mitochondria_KLA,ER_Control,ER_Control,ER_Control,ER_KLA,ER_KLA,ER_KLA,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_Control,Plasmalemma_KLA,Plasmalemma_KLA,Plasmalemma_KLA,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_Control,Dense Microsomes_KLA,Dense Microsomes_KLA,Dense Microsomes_KLA,Cytosol_Control,Cytosol_Control,Cytosol_Control,Cytosol_KLA,Cytosol_KLA,Cytosol_KLA,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_Control,Whole cell homogenate_KLA,Whole cell homogenate_KLA,Whole cell homogenate_KLA
CL (68:5),0.165186896,0.175968002,0.04738871,0.061571208,0.03927081,0.037367497,1.562643574,0.349108112,0.432538104,0.297946018,0.287851385,0.264257206,0.046436327,0.123737966,0.046676825,0.030312933,0.016853328,0.028452887,0.103173257,0.033313231,0.010661569,0.014789068,0.012920172,0.014808119,0.051546612,0.072937285,0.033302771,0.045051766,0.028630636,0.040383518,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,0.298583046,0.210887015,0.249241962,0.149796465,0.108931071,0.148376212
CL (68:4),0.7959005,0.835848008,0.153316414,0.279869129,0.162499904,0.152867033,5.283223511,0.849181894,0.821274881,1.135032451,0.971064914,0.704685881,0.213060792,0.522449191,0.154033522,0.12125173,0.074268901,0.108638294,0.152610443,0.040326543,0.025384687,0.042254479,0.012920172,0.038462647,0.043869457,0.099050634,0.061184161,0.061701331,0.042945954,0.055639513,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,1.441435394,0.843548061,1.196361416,0.738282577,0.499267409,0.654600934
CL (68:3),6.16E-03,8.07E-05,7.67E-05,4.20E-02,3.93E-02,4.67E-05,6.18E-02,4.72E-02,1.97E-03,3.93E-01,4.16E-01,1.76E-01,1.50E-05,1.51E-05,1.28E-05,4.41E-02,3.14E-02,8.28E-03,4.08E-02,8.24E-03,2.03E-03,1.63E-02,1.24E-02,5.58E-03,5.59E-02,6.39E-02,2.25E-02,4.70E-02,2.86E-02,3.68E-02,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,2.14E-01,2.00E-01,4.80E-05
CL (68:2),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-01,4.48E-02,3.94E-02,2.46E-01,2.08E-01,2.58E-02,1.50E-05,1.51E-05,1.28E-05,1.52E-05,1.57E-05,1.42E-05,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
CL (70:6),1.35E-01,1.44E-01,3.35E-02,4.90E-02,2.98E-02,2.97E-02,1.19E+00,2.74E-01,3.34E-01,2.27E-01,2.36E-01,2.11E-01,4.37E-02,1.26E-01,3.27E-02,2.54E-02,1.57E-02,2.85E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.68E-01,1.41E-01,2.39E-01,1.18E-01,7.81E-02,1.05E-01
CL (70:5),0.645730594,0.674544006,0.111502846,0.209901847,0.12458326,0.14437442,5.35763511,0.896358666,0.930778198,1.040446413,0.971064914,0.704685881,0.185745306,0.439957213,0.142364315,0.104717403,0.054273428,0.116398172,0.126817129,0.036819887,0.025384687,0.034571846,0.014470593,0.042308912,0.066900922,0.14407365,0.059635195,0.0852066,0.041156539,0.063716217,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,1.235516052,0.749820499,0.947119455,0.534987375,0.426646695,0.593504847
CL (70:4),1.036172349,1.02648001,0.167254269,0.335842955,0.216666539,0.178344872,6.250574295,0.849181894,0.821274881,1.18232547,1.040426693,0.645962058,0.300470348,0.687433146,0.175038093,0.137786057,0.108546856,0.147437685,0.156909329,0.047339855,0.025384687,0.042254479,0.017054627,0.040385779,0.040579248,0.126064444,0.06583106,0.097938621,0.046524783,0.044870575,0.000375776,0.000249664,0.000298785,0.000298851,0.000243625,0.000197488,2.162153091,1.159878584,1.296058201,0.930878032,0.680819194,0.785521121
CL (70:3),8.26E-05,8.07E-05,7.67E-05,7.70E-05,7.45E-05,4.67E-05,4.09E-05,2.59E-05,3.01E-05,2.36E-01,2.71E-01,5.23E-02,1.50E-05,1.51E-05,1.28E-05,7.44E-03,8.00E-04,1.42E-05,7.09E-03,3.16E-03,9.31E-06,6.53E-03,4.48E-03,1.06E-05,4.61E-02,4.86E-02,6.97E-03,2.45E-02,1.70E-02,1.79E-02,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,6.44E-05,5.48E-05,5.88E-05,4.99E-05,4.80E-05
CL (72:7),1.22E-01,1.31E-01,2.51E-02,3.78E-02,2.44E-02,2.63E-02,8.19E-01,1.89E-01,2.08E-01,1.56E-01,1.66E-01,1.35E-01,3.82E-02,9.07E-02,1.96E-02,1.41E-02,1.20E-02,1.76E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,2.06E-01,1.29E-01,1.69E-01,8.77E-02,8.26E-02,8.73E-02
CL (72:6),2.40E-01,2.64E-01,4.04E-02,7.98E-02,4.74E-02,5.35E-02,2.08E+00,4.48E-01,4.65E-01,4.02E-01,4.16E-01,3.64E-01,6.01E-02,1.81E-01,4.67E-02,4.13E-02,1.83E-02,4.14E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,4.63E-01,2.81E-01,3.39E-01,1.93E-01,1.72E-01,2.09E-01
CL (72:5),4.35E-01,4.25E-01,6.69E-02,1.33E-01,8.12E-02,9.34E-02,3.87E+00,6.13E-01,6.02E-01,7.09E-01,6.94E-01,4.64E-01,1.48E-01,3.30E-01,8.64E-02,5.24E-02,4.00E-02,6.73E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,9.16E-01,5.04E-01,5.98E-01,3.74E-01,3.27E-01,3.93E-01
CL (72:4),3.45E-01,3.96E-01,7.67E-05,7.84E-02,7.45E-05,1.70E-02,2.98E+00,4.06E-01,3.67E-01,4.73E-01,4.51E-01,2.53E-01,1.04E-01,2.50E-01,4.43E-02,4.41E-02,2.80E-02,4.40E-02,1.18E-05,9.64E-06,9.31E-06,1.06E-05,9.47E-06,1.06E-05,6.03E-05,4.95E-05,4.26E-05,5.39E-05,4.92E-05,4.94E-05,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,7.31E-01,3.75E-01,3.99E-01,2.57E-01,2.36E-01,2.36E-01
GPCho(P-36:4),6.907816,10.11816,8.362713,15.392802,12.458326,11.040397,7.44116,9.435354,9.307782,11.823255,12.48512,7.634097,5.736252,5.224492,4.667682,7.440447,7.141241,6.466565,5.158663,7.188645,4.907706,11.716014,8.613448,7.307903,6.251398,7.473821,5.421381,8.128906,8.141837,6.820327,8.881973,8.624767,6.518939,10.867324,10.630925,8.61764,3.809508,4.920697,4.087568,6.419848,5.900433,6.284169
GPCho(O-36:4),5.26E-02,8.07E-05,1.06E+00,2.66E-01,6.50E-01,6.11E-01,4.09E-05,2.59E-05,3.01E-05,2.60E-05,1.91E-05,4.70E-01,4.10E+00,4.67E-01,3.50E-01,1.52E-05,2.46E-01,2.17E-01,1.18E-05,2.81E-01,4.74E-01,1.06E-05,8.27E-01,1.06E-05,5.70E-01,5.67E-01,1.01E+00,6.27E-01,7.07E-01,6.55E-01,3.76E-04,2.50E-04,2.12E+00,1.79E+00,2.08E+00,1.29E+00,5.66E-05,6.44E-05,7.58E-02,5.88E-05,4.99E-05,4.80E-05
GPCho(O-36:3),1.651868962,1.759680016,2.787571154,2.518822161,2.031248799,2.12315324,1.711466771,1.556833473,2.135314689,1.324204526,1.734044488,1.585543233,3.824168068,1.512352921,1.750380928,2.314805754,1.742462687,1.422644327,0.816788287,1.928660758,1.675389334,1.133188287,2.756303332,8.846408793,2.193472861,2.611334905,2.091104246,2.546404151,2.326239161,2.153787615,0.000375776,0.000249664,2.770548924,0.000298851,2.834913465,2.693012564,1.235516052,0.890411842,0.996967847,0.813180809,0.826060622,1.134641619
GPCho(O-36:2),4.6552671,0.718536,7.6658207,6.0171863,4.7395805,6.6242381,5.2088119,6.1329803,6.570199,3.9726136,5.5489424,5.8723823,4.6436327,5.4994652,6.3013713,4.4091538,5.7129924,6.4665651,0.3868997,4.2079871,3.3846249,2.6889214,3.962186,3.6539515,7.2384604,9.9050634,8.5193136,7.1495193,7.6944834,8.7048916,10.9316588,10.8944421,8.6919182,10.3239582,7.9731941,11.8492553,3.7065482,3.7491025,3.688781,2.6749369,2.6325009,3.7530454
GPCho(O-38:5),2.70E+00,3.52E+00,4.46E+00,3.92E+00,7.45E-05,4.16E+00,2.83E+00,3.21E+00,3.56E+00,2.03E+00,2.50E+00,3.23E+00,6.83E+00,2.69E+00,2.29E+00,1.52E-05,2.37E+00,3.10E+00,1.18E-05,3.51E+00,2.20E+00,1.06E-05,3.96E+00,1.13E+01,2.74E+00,4.32E+00,3.87E+00,2.45E+00,3.04E+00,4.04E+00,3.76E-04,2.50E-04,2.99E-04,2.99E-04,2.44E-04,1.97E-04,5.66E-05,1.76E+00,2.09E+00,1.50E+00,1.54E+00,2.09E+00
GPEtn(O-32:0),10.812233,13.05096,18.119213,19.590839,17.604156,15.286703,6.324986,8.491819,7.665232,8.985674,7.282987,8.221335,3.277858,6.324385,4.200914,6.613731,4.856044,6.725228,5.373607,7.188645,6.261556,8.25883,6.029414,7.692529,12.064101,11.705984,10.06828,11.752635,11.631196,12.563761,25.279461,24.512495,32.051448,26.624945,27.463224,31.598014,2.882871,6.209451,6.081504,5.777864,5.537329,5.760488
GPEtn(O-36:5),7.658665,8.50512,8.223335,8.256139,8.124995,6.114681,5.432047,6.604748,6.022682,6.148092,5.548942,5.872382,13.384588,16.773369,14.7032,16.534327,10.283386,9.053191,7.737994,9.993969,10.323106,9.411225,9.474793,14.808119,14.257574,13.506905,20.136559,14.690793,18.788855,15.255996,17.763946,22.242819,15.754102,20.10455,16.389343,13.644597,8.545653,6.560929,6.978775,5.456871,4.901898,5.324088
GPEtn(O-36:4),6.907816,8.65176,9.477742,9.655485,8.802078,6.36946,4.762342,6.13298,5.201408,6.148092,6.589369,5.461316,12.838279,13.748663,12.836127,16.809899,11.425985,9.311854,7.737994,8.591307,9.138487,9.795356,9.474793,13.461926,13.160837,11.705984,16.264144,16.649566,16.99944,13.461173,12.981345,14.525923,13.581122,15.75762,14.617523,10.77205,8.442693,5.975132,6.679685,6.419848,5.809657,5.062247
GPEtn(O-36:3),6.757646,7.91856,8.641471,7.836336,7.312496,6.624238,4.018226,4.717677,4.544388,4.729302,4.508516,4.521734,11.745659,14.298609,14.003047,14.32975,9.997737,9.829179,7.093161,7.889976,8.969256,8.642962,8.441179,14.038866,12.064101,12.606444,16.264144,12.732021,15.210025,13.461173,10.931659,16.341663,14.124367,13.584156,12.845702,11.490187,7.413096,5.506494,6.879078,5.349874,4.992674,4.974967
GPEtn(O-36:2),9.310534,10.41144,10.035256,13.993456,11.781243,12.738919,3.794992,5.189445,5.037153,6.621023,7.282987,7.634097,18.847685,20.073048,16.570273,24.80149,18.281576,18.365045,9.887437,11.571965,12.18465,15.365265,16.53782,30.770118,15.35431,16.208286,20.136559,20.56711,25.051806,24.230111,15.031031,21.334949,15.754102,22.821381,22.147761,21.185032,9.678209,6.209451,9.072407,8.666795,7.534399,9.600814
GPEtn(O-36:1),3.453908,3.07944,3.763221,7.136663,6.635413,6.709164,1.339409,1.839894,1.423543,3.972614,3.468089,4.345563,3.824168,4.124599,4.434298,7.164875,4.284744,7.501216,2.364387,3.857322,3.384625,6.146106,6.201682,9.807975,4.496619,3.511795,3.097932,6.170133,6.710305,6.192139,1.844717,1.361805,3.096496,4.727286,6.644328,6.46323,3.08879,2.460349,3.489387,3.530917,3.08638,4.713127
GPEtn(O-38:5),13.9658,17.5968,18.11921,16.79215,13.54166,13.58818,14.88232,17.92717,14.78295,15.13377,16.99364,15.85543,21.85239,30.24706,25.67225,23.6992,19.13852,19.3997,14.40127,19.28661,18.61544,17.86212,17.2269,25.00072,24.1282,24.31243,25.55794,22.52588,23.26239,20.64046,17.08072,24.51249,20.64331,19.56118,19.93299,17.23528,17.50314,14.05913,14.95452,11.76972,10.89311,12.21922
GPEtn(O-38:3),7.959005,9.67824,16.725427,18.191493,17.604156,16.135965,8.185276,11.322425,9.307782,10.877394,9.710649,10.570288,11.745659,13.198716,13.069511,12.676317,12.854233,15.261094,10.53227,11.396632,11.507725,12.676344,11.197482,15.577372,16.451046,15.307825,13.940695,15.670179,15.210025,16.153407,25.96269,26.328235,28.248734,29.341776,26.134359,33.034287,9.26637,7.029567,9.969678,6.740841,8.896037,8.029771
GPEtn(O-38:2),6.156966,7.03872,5.435764,6.576925,5.55208,5.690051,3.348522,4.198733,4.380133,5.202232,5.548942,5.872382,10.65304,9.899037,8.401828,9.920596,8.569489,10.087842,6.448329,6.837979,7.107712,7.298501,8.613448,11.731107,7.677155,6.483314,6.195864,6.659826,6.08401,6.281881,3.142852,4.539351,3.15082,3.260197,5.315463,2.441665,5.971661,5.272175,5.682717,5.456871,5.174226,7.06969
GPEtn(O-38:1),2.102378679,2.492880023,1.672542692,4.198036935,3.114581492,4.586010999,1.488231975,2.028601192,1.423543126,3.263218296,3.468088977,3.699600877,1.447720769,1.402363617,1.446981567,3.031293249,3.142145828,5.173252096,1.805532003,2.103993555,1.675389334,3.07305298,2.756303332,4.615517631,1.754778289,1.170598406,1.161724581,2.056711045,2.05782695,2.423011067,0.471427787,0.000249664,0.814867331,2.553821239,2.480549282,3.267521911,1.02959671,1.405913435,1.993935694,2.674936872,2.904828562,4.102165855
CoQ-9,30.0339811,24.9288002,4.8782495,12.5941108,5.9583298,10.1911356,126.4997179,66.0474807,65.7019904,66.2102263,65.8936906,40.5194382,8.1946459,4.3995721,7.468292,3.8580096,4.8560436,4.1386017,1.2251824,0.5259984,0.6092325,0.4225448,0.2067227,0.6730963,1.4257574,1.2606444,1.0842763,1.1752635,0.9841781,1.2563761,2.1863318,1.0894442,0.9778408,1.0867324,1.1959791,1.7594349,18.5327408,17.5739179,17.9454212,18.1895707,14.5241428,15.7104224
CoQ-10,2.85322821,2.49288002,0.54357638,1.53928021,0.71770791,1.10403969,11.16173981,5.66121263,5.09190426,6.62102263,6.93617795,3.7583247,0.92872653,0.46745454,0.77016761,0.4960298,0.62842917,0.46559269,0.18485209,0.07013312,0.081231,0.06338172,0.03445379,0.08269469,0.19741256,0.12606444,0.10842763,0.13711407,0.11631196,0.1166635,0.30062062,0.10894442,0.08691918,0.13040789,0.12845702,0.17594349,1.75031441,1.64023234,1.59514856,2.03295202,1.72474196,1.57104224
DOL-18,0.087098545,0.0498576,0.048782495,0.114746343,0.059583298,0.079830562,0.055808699,0.030193134,0.023543213,0.029794602,0.024970241,0.0199661,0.018574531,0.038496256,0.023105028,0.022321341,0.031421458,0.017330395,0.012466769,0.005435317,0.005753862,0.005185777,0.004306724,0.005769397,0.017547783,0.026113349,0.021685526,0.055825014,0.023262392,0.013461173,0.017080717,0.005447221,0.005975694,0.007607127,0.007087284,0.007540435,0.026769514,0.030461458,0.02293026,0.039589066,0.035402598,0.031420845
DOL-19,0.052559467,0.0307944,0.023694355,0.058772517,0.041979142,0.049257155,0.038694031,0.019814244,0.016425498,0.019863068,0.017340445,0.011744765,0.027315486,0.012923743,0.014936584,0.016809899,0.024280218,0.012674468,0.007093161,0.003681989,0.00406155,0.003841316,0.002411765,0.003653951,0.023031465,0.017108746,0.010842763,0.017628952,0.013420611,0.008435668,0.012298116,0.004312383,0.003639741,0.004292593,0.004119484,0.004667888,0.020591934,0.017573918,0.015951486,0.02246947,0.019970696,0.020074429
DOL-20,0.009310534,0.00630552,0.005435764,0.012314242,0.008124995,0.008492613,0.008185276,0.004717677,0.003504106,0.004729302,0.004161707,0.002994915,0.003004704,0.005774438,0.003267378,0.00385801,0.005712992,0.002534894,0.000859777,0.000736398,0.001269234,0.000595404,0.000637395,0.000807716,0.002193473,0.003151611,0.002555794,0.007051581,0.003220947,0.0015256,0.002254655,0.00090787,0.000814867,0.000869386,0.000753024,0.001005391,0.003912468,0.004100581,0.003489388,0.004921884,0.004629571,0.004014886
Ceramide C16 ,1.65E+00,1.47E+00,1.20E+00,2.52E+00,1.62E+00,1.87E+00,4.99E-01,3.92E-01,4.00E-01,9.93E-01,6.24E-01,1.35E+00,6.28E-01,5.22E-01,3.97E-01,8.27E-01,7.14E-01,8.28E-01,5.59E-01,5.44E-01,4.23E-01,5.57E-01,9.65E-01,1.06E-05,4.50E-01,2.97E-01,2.94E-01,4.21E-01,5.10E-01,5.65E-01,6.08E-01,3.77E-01,6.52E-01,9.24E-01,4.87E-01,9.69E-01,8.55E-01,1.01E+00,8.67E-01,1.82E+00,1.54E+00,1.57E+00
Ceramide C18,8.56E-02,1.76E-01,1.53E-01,3.50E-01,1.16E-01,1.95E-01,5.28E-02,3.96E-02,6.02E-02,1.04E-01,3.47E-02,1.47E-01,2.43E-02,3.30E-02,5.37E-02,8.54E-02,5.71E-02,9.57E-02,5.16E-02,4.38E-02,3.72E-02,7.68E-02,3.10E-02,1.06E-05,7.46E-02,8.55E-02,9.29E-02,1.57E-01,4.56E-02,1.35E-01,1.98E-01,8.62E-02,2.06E-01,2.50E-01,1.46E-01,2.80E-01,5.35E-02,1.09E-01,7.38E-02,2.03E-01,5.54E-02,1.57E-01
Ceramide C20,3.45E-02,4.55E-02,2.79E-02,1.40E-01,3.52E-02,3.23E-02,2.46E-02,1.93E-02,2.41E-02,4.54E-02,1.98E-02,3.82E-02,1.78E-02,2.28E-02,2.01E-02,2.51E-02,2.17E-02,1.89E-02,2.58E-02,1.47E-02,1.61E-02,2.69E-02,1.40E-02,1.06E-05,6.03E-02,5.67E-02,5.27E-02,3.13E-02,4.29E-02,4.22E-02,1.78E-01,7.72E-02,9.24E-02,2.39E-01,5.32E-02,1.22E-01,1.54E-02,2.93E-02,2.09E-02,1.04E-01,3.09E-02,3.32E-02
Ceramide C22,1.80E-01,1.45E-01,9.76E-02,2.80E-01,2.03E-01,2.72E-01,3.94E-02,4.72E-02,3.45E-02,1.32E-01,4.51E-02,9.40E-02,5.74E-02,3.85E-02,3.03E-02,1.05E-01,6.28E-02,6.73E-02,6.88E-02,6.31E-02,3.89E-02,6.72E-02,7.06E-02,1.06E-05,5.48E-02,1.80E-02,2.71E-02,6.27E-02,3.67E-02,4.85E-02,1.91E-01,2.68E-02,1.36E-02,2.39E-01,7.53E-02,7.90E-02,9.16E-02,1.16E-01,6.38E-02,2.57E-01,1.72E-01,1.92E-01
Ceramide C24:1,5.11E-01,3.37E-01,2.93E-01,3.92E-01,5.82E-01,3.48E-01,1.49E-01,1.32E-01,8.76E-02,2.46E-01,1.60E-01,2.17E-01,1.64E-01,1.15E-01,9.57E-02,1.76E-01,1.77E-01,1.60E-01,1.25E-01,1.26E-01,1.03E-01,1.36E-01,1.67E-01,1.06E-05,1.65E-01,1.89E-01,9.29E-02,1.37E-01,1.97E-01,9.87E-02,5.40E-01,2.04E-01,2.17E-01,2.99E-01,1.46E-01,1.18E-01,3.09E-01,2.46E-01,1.69E-01,5.24E-01,3.54E-01,3.49E-01
Ceramide C24,3.45E-01,2.49E-01,1.38E-01,6.02E-01,4.47E-01,4.76E-01,1.41E-01,6.60E-02,7.67E-02,2.13E-01,1.25E-01,2.17E-01,1.04E-01,5.77E-02,7.00E-02,1.57E-01,1.57E-01,1.09E-01,1.55E-01,9.47E-02,7.62E-02,1.92E-01,2.07E-01,1.06E-05,1.32E-01,9.00E-02,4.03E-02,1.66E-01,1.07E-01,6.64E-02,3.01E-01,1.32E-01,9.24E-02,2.72E-01,1.64E-01,3.05E-01,2.99E-01,2.11E-01,1.60E-01,4.81E-01,4.72E-01,4.63E-01
Ceramide C26:1,1.95E-02,1.76E-02,9.48E-03,5.74E-02,2.17E-02,2.72E-02,6.47E-03,5.66E-03,1.70E-02,5.20E-03,6.94E-03,7.63E-03,4.92E-03,1.26E-02,4.67E-03,3.31E-03,7.43E-04,4.40E-03,1.18E-05,2.10E-03,6.43E-03,1.88E-03,4.82E-03,1.06E-05,6.03E-05,1.17E-02,2.79E-02,8.23E-03,1.61E-02,2.06E-02,3.76E-04,3.00E-02,5.27E-02,1.74E-02,6.20E-02,3.95E-02,1.44E-02,5.27E-03,1.10E-02,5.88E-03,9.99E-03,5.67E-03
Ceramide C26,1.65E-02,4.69E-02,4.32E-02,1.32E-01,4.74E-02,1.70E-02,2.98E-02,3.02E-02,9.31E-03,2.08E-02,1.70E-02,2.88E-02,9.01E-03,1.76E-02,1.14E-02,1.30E-02,1.89E-02,1.53E-02,1.61E-02,1.65E-02,1.15E-02,2.11E-02,2.07E-02,1.06E-05,6.91E-02,7.92E-02,3.49E-02,6.95E-02,7.07E-02,2.96E-02,9.57E-02,9.08E-02,6.52E-02,1.68E-01,4.87E-02,3.95E-02,3.40E-02,1.76E-02,1.40E-02,4.60E-02,7.90E-03,1.31E-02
DHCeramide C16 ,4.81E-02,3.81E-02,3.21E-02,2.10E-01,6.23E-02,4.25E-02,1.93E-02,8.96E-03,2.14E-02,5.68E-02,2.39E-02,4.87E-02,1.83E-02,8.80E-03,1.59E-02,3.58E-02,3.43E-02,3.10E-02,2.36E-02,2.10E-02,2.20E-02,2.30E-02,3.62E-02,1.06E-05,1.86E-02,9.00E-03,1.24E-02,2.55E-02,1.88E-02,2.15E-02,8.88E-02,1.59E-02,5.00E-02,7.61E-02,4.21E-02,4.67E-02,2.37E-02,3.98E-02,4.19E-02,1.03E-01,6.35E-02,6.46E-02
DHCeramide C18,7.36E-03,3.96E-03,1.67E-02,6.02E-02,1.23E-02,2.38E-02,6.55E-03,5.66E-03,2.41E-03,1.61E-02,8.32E-03,5.40E-03,5.46E-03,3.30E-03,7.00E-03,8.54E-03,8.86E-03,5.17E-03,3.22E-03,5.96E-03,5.42E-03,4.42E-03,6.03E-03,1.06E-05,8.34E-03,3.51E-03,7.74E-03,1.57E-02,1.43E-02,3.59E-03,3.35E-02,4.99E-03,2.77E-02,9.78E-03,5.76E-03,1.54E-02,9.68E-03,8.20E-03,1.30E-02,3.21E-02,2.63E-03,1.22E-02
DHCeramide C20,8.26E-05,6.01E-03,1.53E-02,1.37E-02,2.44E-03,1.36E-02,4.61E-03,2.26E-03,3.01E-05,1.80E-03,2.84E-03,7.05E-03,5.74E-03,2.47E-03,7.00E-04,1.87E-03,4.28E-03,4.14E-03,5.80E-04,2.98E-03,5.08E-04,1.92E-03,3.62E-03,1.06E-05,1.86E-02,4.95E-05,4.26E-05,5.39E-05,7.96E-03,4.94E-05,5.74E-02,1.41E-02,4.67E-02,5.43E-02,1.90E-02,1.97E-04,4.02E-03,6.91E-03,3.69E-03,1.39E-02,6.08E-03,4.45E-03
DHCeramide C22,1.07E-02,6.45E-03,6.41E-03,2.52E-02,1.62E-02,8.49E-03,5.21E-03,4.48E-03,5.42E-03,9.46E-03,3.81E-03,1.59E-03,3.28E-03,3.30E-03,5.37E-03,7.72E-03,7.71E-03,5.69E-03,2.79E-03,4.73E-03,9.31E-06,8.45E-03,1.03E-02,1.06E-05,6.03E-05,2.88E-03,4.34E-03,8.62E-03,5.64E-03,6.01E-03,4.99E-02,4.99E-03,6.52E-03,2.55E-02,2.44E-04,1.97E-04,1.13E-02,3.16E-03,8.47E-03,1.28E-02,6.81E-03,1.31E-02
DHCeramide C24:1,1.50E-02,2.93E-02,1.35E-02,2.80E-02,1.49E-02,1.95E-02,8.93E-03,6.60E-03,8.76E-03,9.93E-03,9.36E-03,8.22E-03,3.82E-03,3.02E-03,2.80E-03,8.82E-03,4.86E-03,3.36E-03,4.94E-03,1.75E-03,5.92E-03,5.38E-03,5.00E-03,1.06E-05,2.52E-03,1.35E-02,4.18E-03,1.47E-02,7.25E-03,4.94E-05,4.10E-02,1.59E-02,2.23E-02,9.78E-03,2.39E-02,1.54E-02,1.13E-02,7.85E-03,7.18E-03,2.67E-02,6.81E-03,1.05E-02
