,24h_CON,24h_CON,24h_CON,24h_AA,24h_AA,24h_AA
,#1,#2,#3,#4,#5,#6
Hex2Cer(d18:1/22:1),0.032543166,0.020296416,0.0109645,0.031796959,0.027300596,0.025651643
Hex2Cer(d18:1/22:0),0.157070565,0.093101241,0.100454516,0.159980376,0.137586808,0.105077085
Hex2Cer(d18:1/24:2),0.099022168,0.048436331,0.052999101,0.078981047,0.042498901,0.065399911
Hex2Cer(d18:1/24:1),0.601476599,0.292525169,0.344646047,0.4820156,0.434447163,0.627009068
Hex2Cer(d18:1/24:0),0.315952479,0.028467244,0.12908796,0.258792766,0.130870813,0.11066234
PA(O-30:0),0.0000927,0.000224788,0.00004635,0.060631622,0.08687085,0.045629368
PA(34:3),0.008367769,0.090016757,0.059286363,0.00965738,0.006070888,0.003631264
PA(36:3),0.008631944,0.083573912,0.044086752,0.009162471,0.006371473,0.00471872
PA(38:3),0.002990318,0.034361192,0.020296279,0.004154273,0.002252294,0.00194099
PA(40:3),0.001444323,0.01259408,0.011107266,0.003037017,0.003176898,0.002943242
PG(32:0),0.241937705,0.288914234,0.303187808,0.064578441,0.06056875,0.04506685
PG(36:1),1.205726919,1.286758133,1.351663246,0.159955396,0.144500307,0.175931396
HexCer(d18:1/20:0),0.010535443,0.008816216,0.007187561,0.004330881,0.004039042,0.003997798
HexCer(d18:1/22:1),0.032018287,0.027601076,0.021791247,0.015114031,0.013246189,0.013806063
HexCer(d18:1/22:0),0.174096678,0.150674749,0.12248675,0.103290138,0.102670269,0.095621212
HexCer(d18:1/24:2),0.055638205,0.046574272,0.03733403,0.019660024,0.026480787,0.02110174
HexCer(d18:1/24:1),0.408425265,0.340939541,0.286918348,0.180087859,0.189219428,0.168404708
HexCer(d18:1/24:0),0.305257545,0.379857507,0.265494717,0.14113892,0.120986537,0.077727487
PI(32:3),0.000378257,0.000274772,0.000374057,0.028951009,0.035811054,0.026804822
PI(32:1),0.178279854,0.13475034,0.184561605,0.059120044,0.053876867,0.046053838
PI(32:0),0.025948654,0.014534561,0.024823157,0.015628558,0.006269137,0.007936197
PI(O-34:1),0.10743601,0.090640417,0.09752107,0.013860762,0.013199309,0.010933933
PI(34:4),0.003309791,0.0041877,0.003958562,0.051827772,0.049184151,0.051807688
PI(34:3),0.01691086,0.015126771,0.013358537,0.034020412,0.038350867,0.031092655
PI(34:2),0.381266238,0.349374448,0.355878964,0.126340853,0.131151365,0.119349834
PI(34:1),1.973229275,1.768713382,1.832641661,0.386481313,0.301519833,0.290161795
PI(O-36:4),0.07934556,0.075481984,0.070295602,0.063560536,0.069504691,0.070590794
PI(O-36:2),0.06435281,0.062784094,0.056660635,0.009755889,0.009920043,0.008221793
PI(O-36:1),0.03607669,0.031487081,0.030281702,0.010648075,0.016758826,0.00894039
PI(36:5),0.069228046,0.056923685,0.055021058,0.034738656,0.039787739,0.044123422
PI(36:4),0.978376317,0.835859353,0.279231892,2.198286896,2.085349414,2.35188876
PI(36:3),0.321569326,0.348020235,0.260781277,0.095274327,0.123719478,0.072887894
PI(36:2),1.723474964,1.60329755,1.632560992,0.27648853,0.267051762,0.284595619
PI(36:1),0.775237212,0.824446949,0.816245622,0.154185681,0.138957395,0.110097727
PI(O-38:5),0.121938705,0.121644664,0.039535249,0.101888862,0.107884192,0.115289376
PI(O-38:4),0.060109738,0.054654424,0.066528999,0.020636166,0.022246198,0.023391213
PI(38:6),0.034800207,0.12574818,0.163564793,0.082021411,0.095316145,0.104673532
PI(38:5),0.479496126,0.950689005,1.161484874,0.968392728,1.342688772,0.284384502
PI(38:4),5.500843733,4.94538251,5.921045703,5.289358977,6.726894429,6.546320684
PI(38:3),0.753082037,0.782035378,1.56769868,0.014242215,0.029315588,0.512195281
PI(38:2),0.141518971,0.089915886,0.097648135,0.004566367,0.010832164,0.025522393
PI(38:2),0.08326899,0.071104191,0.005350446,0.019843818,0.02496931,0.003256032
PI(O-40:6),0.02363354,0.018507712,0.027885246,0.000822202,0.001269055,0.002768742
PI(O-40:5),0.015517506,0.008099387,0.015004884,0.00996157,0.012935266,0.013589768
PI(40:7),0.055685884,0.044405206,0.055267181,0.070472096,0.053635058,0.094553669
PI(40:6),0.413910773,0.350447276,0.427308707,0.065411557,0.080118905,0.082178611
PI(40:5),0.503472053,0.427218086,0.497229474,0.229013694,0.292161711,0.290255586
PI(40:4),0.162426703,0.129976014,0.175390495,0.474249389,0.566060975,0.631257309
PI(40:3),0.022379737,0.017664464,0.016854045,0.017302643,0.023109223,0.012620271
PI(42:8),0.001430681,0.001526224,0.001380979,0.276496137,0.37301544,0.289705656
PI(42:4),0.005682151,0.003639655,0.002397329,0.057405745,0.069207559,0.064059463
PE(O-32:2),0.068587162,0.084764165,0.074723804,0.034037385,0.032973252,0.034350338
PE(O-32:1),0.044885745,0.03674633,0.038203049,0.010792876,0.011885915,0.013307885
PE(32:2),0.039459678,0.04344219,0.048263763,0.018429558,0.020683844,0.019132679
PE(32:1),0.245979854,0.2095937,0.277267644,0.210506123,0.201986155,0.220963937
PE(32:0),0.046063214,0.043759251,0.047335343,0.175927791,0.183855506,0.194325215
PE(O-34:3),0.102310088,0.093917861,0.094343845,0.045159596,0.040605265,0.043923238
PE(O-34:2),1.232003113,1.133290778,1.177857373,0.509464041,0.503383937,0.518800257
PE(O-34:1),0.035009016,0.032289333,0.031563976,0.023593599,0.001773936,0.003124899
PE(O-34:1),0.090960682,0.080760726,0.086644951,0.048141637,0.043449783,0.05270762
PE(34:4),0.00760174,0.007146063,0.006213998,0.067812553,0.063622397,0.062355543
PE(34:3),0.042452728,0.043355398,0.041812721,0.029164171,0.028888352,0.031891088
PE(34:2),0.506963766,0.456072312,0.475609553,0.077138583,0.141981489,0.235722459
PE(34:1),1.551775629,1.463088193,1.500332232,1.319436264,1.054650706,1.174980533
PE(O-36:6),0.175542662,0.131013169,0.131231777,0.028003027,0.009635192,0.031515998
PE(O-36:5),1.03758588,0.862228421,0.873166931,0.834936741,0.905691051,0.812759156
PE(O-36:4),0.077020518,0.122499298,0.091244182,0.046752464,0.033782812,0.046777644
PE(O-36:3),0.481102101,0.481870032,0.400252559,0.149567986,0.143624122,0.145388332
PE(O-36:2),0.596212246,0.609296232,0.49858012,0.162306284,0.159807722,0.16638372
PE(O-36:1),0.024739316,0.061671538,0.05243212,0.007893131,0.009050963,0.009115556
PE(36:5),0.064638263,0.056847297,0.058329866,0.084952575,0.073860149,0.074178967
PE(36:4),0.232762659,0.194366127,0.210755762,0.780737358,0.661508184,0.651150552
PE(36:3),0.223547139,0.220578648,0.146818198,0.062339247,0.024113558,0.049659663
PE(36:2),1.755773533,1.783862344,1.77351131,0.896257493,0.836792242,0.866572845
PE(36:1),1.246861812,1.3198302,1.27778082,0.917394456,0.855660324,0.91481429
PE(O-38:7),0.332103297,0.258244394,0.907997788,0.066677263,0.065734464,0.053110057
PE(O-38:6),1.297260888,1.134043048,1.083892431,0.761261641,0.867862514,0.831433633
PE(O-38:5),0.421987821,0.542727314,0.383600342,1.268177723,1.23797784,1.192243488
PE(O-38:4),0.055138149,0.082519061,0.013578326,0.038696161,0.043391571,0.040371434
PE(O-38:3),0.132646684,0.124260848,0.125158652,0.037235616,0.03514361,0.035729192
PE(O-38:2),0.110563259,0.085628755,0.09254059,0.018966937,0.010987083,0.016605861
PE(38:8),0.015154591,0.015415062,0.014922704,0.007370451,0.007440673,0.007402994
PE(38:7),0.062755257,0.019529577,0.022351211,0.025544905,0.02622266,0.023558269
PE(38:6),0.308313672,0.216343866,0.205962735,0.173169603,0.159707574,0.135552353
PE(38:5),0.53711772,0.458078414,0.431335309,0.947028773,0.926658116,0.746314406
PE(38:4),0.730970372,0.615610307,0.588434525,2.171650709,2.089118153,1.927027259
PE(38:3),0.112129389,0.0926207,0.093749937,0.005609786,0.00569312,0.006201936
PE(38:2),0.113102119,0.128748677,0.105036908,0.091809328,0.086950325,0.087071843
PE(O-40:8),0.539121861,0.508335951,0.59911748,0.17189136,0.192963136,0.192590933
PE(38:1),0.028701264,0.015852127,0.038790499,0.036596675,0.027963701,0.027814064
PE(O-40:7),0.79283013,0.762158973,0.83770001,0.26071136,0.297172099,0.284722478
PE(O-40:6),0.124546785,0.170437664,0.189897957,0.825993794,0.934632477,0.890193165
PE(O-40:5),0.026076631,0.11207626,0.118526234,0.239265936,0.294099723,0.278444917
PE(O-40:2),0.014992179,0.014172699,0.026215213,0.018414572,0.015349951,0.01762481
PE(40:8),0.048053624,0.048643252,0.049591636,0.051030463,0.052186842,0.051764765
PE(40:7),0.29872421,0.333001696,0.289955047,0.25385134,0.284497766,0.267874645
PE(40:6),0.647699141,0.570971854,0.546236163,0.355868426,0.337223404,0.355585373
PE(40:5),0.46372927,0.373170208,0.353236042,1.111879041,1.146622694,1.117240931
PE(40:4),0.096014345,0.080689843,0.065585138,0.936830031,0.972116588,0.905590374
PE(40:4),0.073949055,0.058634439,0.063927901,0.092079291,0.74228358,0.396367891
PE(40:2),0.037466092,0.027958822,0.027666729,0.019276153,0.020264574,0.018167541
PE(40:1),0.022172451,0.01715721,0.01378851,0.013775135,0.013695926,0.013036248
PE(O-42:7),0.045032057,0.044200844,0.047371879,0.020323885,0.023368543,0.023052395
PE(O-42:6),0.028946849,0.028740369,0.025287405,0.064512449,0.055670067,0.068584737
PE(O-42:5),0.019361524,0.011645493,0.018411573,0.019657349,0.027045102,0.08467622
PE(42:8),0.005358486,0.00509418,0.00489321,0.160215808,0.151076058,0.166159881
PE(42:6),0.019822241,0.016388241,0.018313598,0.029445149,0.036759134,0.035703958
PE(42:5),0.014390885,0.01400881,0.012663491,0.106325406,0.118888678,0.111003631
PE(42:2),0.025948321,0.027614049,0.022552199,0.012637128,0.012932254,0.015351634
PE(42:1),0.040199961,0.050384858,0.035170969,0.015435987,0.017419955,0.01667314
PS(30:0),0.028192467,0.020247144,0.035295002,0.082260985,0.108429749,0.073706909
PS(32:1),0.191974161,0.137473084,0.208569796,0.164650504,0.180941821,0.140234016
PS(32:0),0.11392858,0.080762026,0.128541348,0.656895224,0.800790573,0.592724899
PS(O-34:2),0.029323205,0.024382082,0.026273126,0.016526369,0.014231443,0.013520611
PS(O-34:1),0.105387048,0.090256898,0.108772669,0.063293826,0.068873795,0.058519927
PS(34:4),0.004617389,0.004526392,0.005373511,0.006760092,0.007665925,0.005435403
PS(34:3),0.006368197,0.005752718,0.006958539,0.03779324,0.036133332,0.033544364
PS(34:2),0.105985448,0.187428938,0.222868989,0.119692029,0.115876558,0.096414561
PS(34:1),2.880856603,2.314920356,2.846964699,1.949880287,1.902796261,1.623934052
PS(34:0),0.079015431,0.0489342,0.068982428,0.444600497,0.52862925,0.483983454
PS(34:0),0.332911643,0.236496733,0.307011497,0.651406423,0.808757298,0.6037602
PS(O-36:2),0.034400705,0.024427643,0.041680999,0.022898794,0.030509149,0.016747598
PS(O-36:1),0.075171402,0.079745494,0.081229229,0.029814584,0.039198819,0.048683139
PS(36:5),0.002764709,0.006275263,0.002421314,0.00573484,0.002851306,0.003729663
PS(36:4),0.038362307,0.06219005,0.066963816,0.089728207,0.141167156,0.129925769
PS(36:3),0.112298298,0.142428857,0.163109404,0.119412307,0.107984095,0.092251441
PS(36:2),0.151112725,1.787285157,1.945726153,0.924478097,0.692737216,0.724967322
PS(36:1),7.043700144,7.384446394,7.589017167,4.100771573,3.66835873,3.734077585
PS(O-38:7),0.01227275,0.010756856,0.063735211,0.0130061,0.017188433,0.017619346
PS(O-38:6),0.013964352,0.009677958,0.012186888,0.004546426,0.003893599,0.00519424
PS(O-38:5),0.025975912,0.04277621,0.03850619,0.020034685,0.02041814,0.018731156
PS(O-38:4),0.015361629,0.00853748,0.012158597,0.040560136,0.032989778,0.03112942
PS(38:6),0.117175439,0.109895144,0.126515188,0.082905688,0.072416839,0.068792479
PS(38:5),0.200216388,0.159249725,0.130472047,0.261090648,0.193092814,0.093696659
PS(38:4),0.509099734,0.481390046,0.437597604,1.903587979,1.60630486,1.399465317
PS(38:3),0.492055198,0.774928489,0.846522945,0.005776118,0.211674206,0.162313693
PS(38:2),0.25634711,0.380386092,0.337925288,0.238257395,0.103151279,0.198588052
PS(38:1),0.291686692,0.398342179,0.447713353,0.204354514,0.210292882,0.1823249
PS(O-40:7),0.012210369,0.052070583,0.021349638,0.133917263,0.004977506,0.113890649
PS(O-40:6),0.042939449,0.042554202,0.045914555,0.020326816,0.023076344,0.020959988
PS(O-40:5),0.046881833,0.048316351,0.054300421,0.031545055,0.030914408,0.028104057
PS(40:7),0.177766923,0.164857103,0.19029074,0.09854955,0.027098694,0.08263632
PS(40:6),1.357915192,2.383178655,1.206021156,0.757737382,0.6164917,0.67403296
PS(40:5),2.76910078,2.877810713,3.045282055,1.969726068,1.882297636,0.105170781
PS(40:5),2.527981564,2.450430131,2.638233748,1.482124244,1.409283152,1.800421904
PS(40:4),0.053790127,0.226333027,0.023354456,4.463087626,5.184392579,4.884644049
PS(40:3),0.142837675,0.1241478,0.145149866,0.688817434,0.7058676,0.669007507
PS(40:3),0.125318222,0.109120329,0.118438968,0.53181641,0.567987667,0.534270406
PS(40:2),0.205547351,0.225872286,0.219837652,0.009014278,0.012660125,0.010697057
PS(40:1),0.280808452,0.285244792,0.272124131,0.11036999,0.089930038,0.095834851
PS(42:9),0.044121706,0.050586589,0.041577351,0.011759406,0.013871106,0.013894296
PS(42:8),0.039096671,0.048629063,0.033723608,0.047177176,0.041427748,0.043042335
PS(42:7),0.036438705,0.03570531,0.032596829,0.114264707,0.106554847,0.098753268
PS(42:6),0.083113573,0.084104043,0.085542655,0.044534268,0.053335334,0.045962758
PS(42:5),0.065939305,0.07000883,0.06907244,0.28929439,0.279559443,0.254160528
PS(42:4),0.034472641,0.030818794,0.032391672,0.126732668,0.141801857,0.131631883
PS(42:3),0.034780752,0.034810621,0.037613988,0.013407059,0.020036712,0.020597628
PS(42:3),0.041011293,0.038104951,0.047120336,0.006662068,0.006577295,0.007568394
PS(42:2),0.249863654,0.25460709,0.281313059,0.071510691,0.053102074,0.052849125
PS(42:1),0.308479706,0.291175297,0.315114147,0.069460238,0.054692075,0.048056382
PS(42:0),0.013005016,0.010689086,0.011056028,0.001739964,0.001058751,0.002111546
PS(44:7),0.021815963,0.022142444,0.019754637,0.010853857,0.01275332,0.012666286
PS(44:6),0.049177437,0.044363468,0.049471088,0.010688399,0.010620484,0.011051772
PS(44:5),0.03352943,0.029528909,0.031940791,0.026728698,0.029460885,0.02374186
PS(44:4),0.013190399,0.014368225,0.01653762,0.010442505,0.012955135,0.009018439
PS(44:3),0.01523222,0.014919354,0.015965114,0.002804162,0.004245328,0.003052299
PS(46:8),0.003280582,0.004581764,0.00528233,0.032261397,0.043272956,0.03530423
PS(46:7),0.030394113,0.025860137,0.033250505,0.002091238,0.003220794,0.002248053
PS(46:6),0.053653805,0.049636537,0.062125577,0.009544442,0.010171536,0.008245987
PS(46:5),0.024727529,0.021781919,0.030108376,0.011529065,0.016262285,0.010853257
PC(O-28:0),0.049899945,0.039151021,0.045718428,0.014221287,0.014774815,0.012781417
